Syscall,Input,Output,Error Codes,Description
getgid,"none",group ID of the calling process,"none","Gets the group ID of the calling process."
getegid,"none",effective group ID of the calling process,"none","Gets the effective group ID of the calling process."
times,"buffer (rdi)",user/system CPU times or -1,"EFAULT","Gets process times (user/system)."
sched_yield,"none",0 on success,"none","Yields the processor, allowing other processes to run."
nanosleep,"req (rdi), rem (rsi)",0 on success or -1,"EINTR, EFAULT","Suspends execution for a specified time."
socketpair,"domain (rdi), type (rsi), protocol (rdx), sv (r10)",0 on success or -1,"EAFNOSUPPORT, EINVAL, EMFILE, ENOMEM","Creates a pair of connected sockets."
bind,"socket fd (rdi), address (rsi), addrlen (rdx)",0 on success or -1,"EACCES, EADDRINUSE, EINVAL, ENOTSOCK","Binds a socket to an address."
listen,"socket fd (rdi), backlog (rsi)",0 on success or -1,"EADDRINUSE, EBADF, ENOTSOCK, EOPNOTSUPP","Marks a socket as passive, ready to accept connections."
shutdown,"socket fd (rdi), how (rsi)",0 on success or -1,"EBADF, ENOTCONN, ENOTSOCK, EINVAL","Shuts down part or all of a full-duplex connection."
setsockopt,"socket fd (rdi), level (rsi), optname (rdx), optval (r10), optlen (r8)",0 on success or -1,"EBADF, EFAULT, ENOPROTOOPT, EINVAL","Sets socket options."
getsockopt,"socket fd (rdi), level (rsi), optname (rdx), optval (r10), optlen (r8)",0 on success or -1,"EBADF, EFAULT, ENOPROTOOPT, EINVAL","Gets socket options."
sendto,"socket fd (rdi), buffer (rsi), length (rdx), flags (r10), addr (r8), addrlen (r9)",bytes sent (rax) or -1,"EBADF, EFAULT, EINVAL, ENOMEM, ENOTCONN","Sends data to a specific address."
recvfrom,"socket fd (rdi), buffer (rsi), length (rdx), flags (r10), addr (r8), addrlen (r9)",bytes received (rax) or -1,"EBADF, EFAULT, EINVAL, ENOMEM, ENOTCONN","Receives data from a specific address."
clone,"flags (rdi), child_stack (rsi), ptid (rdx), ctid (r10), tls (r8)",PID of child (rax) or -1,"EAGAIN, EINVAL, ENOMEM","Creates a new process or thread with shared memory."
wait4,"pid (rdi), status (rsi), options (rdx), rusage (r10)",PID of child (rax) or -1,"ECHILD, EINTR, EINVAL","Waits for a process to change state."
gettimeofday,"timeval (rdi), timezone (rsi)",0 on success or -1,"EFAULT","Gets the current time of day."
settimeofday,"timeval (rdi), timezone (rsi)",0 on success or -1,"EFAULT, EPERM","Sets the system's time of day."
eventfd,"initval (rdi), flags (rsi)",event fd (rax) or -1,"EMFILE, EINVAL, ENOMEM","Creates a file descriptor for event notification."
epoll_create,"size (rdi)",epoll fd (rax) or -1,"EMFILE, EINVAL, ENOMEM","Creates a new epoll instance."
epoll_ctl,"epoll fd (rdi), op (rsi), fd (rdx), event (r10)",0 on success or -1,"EBADF, EFAULT, EINVAL, ENOMEM","Controls an epoll instance (add, modify, delete fds)."
epoll_wait,"epoll fd (rdi), events (rsi), maxevents (rdx), timeout (r10)",number of events (rax) or -1,"EBADF, EFAULT, EINTR, EINVAL","Waits for events on an epoll instance."
select,"nfds (rdi), readfds (rsi), writefds (rdx), exceptfds (r10), timeout (r8)",number of fds with events (rax) or -1,"EBADF, EFAULT, EINTR, EINVAL","Monitors multiple file descriptors for events."
splice,"fd_in (rdi), off_in (rsi), fd_out (rdx), off_out (r10), len (r8), flags (r9)",bytes spliced (rax) or -1,"EBADF, EFAULT, EINVAL, ENOMEM, EPIPE","Moves data between file descriptors."
truncate,"pathname (rdi), length (rsi)",0 on success or -1,"EACCES, EBADF, EFAULT, EINVAL, ENOENT","Truncates a file to a specified length."
ftruncate,"file descriptor (rdi), length (rsi)",0 on success or -1,"EBADF, EINVAL, EFAULT","Truncates an open file to a specified length."
